id,duration,distance,start,end,carrier,manufacturer,os,notes,device_id,created_on,updated_on,,,
201,186133,39.01029068949270,2021-10-22T18:16:13.000Z,2021-10-24T21:58:26.000Z,AT&T,Apple,14.8,,3,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z,,,
,,,,,,,,,,,,,,
id,timestamp,battery,network,service,connected,http,lat,lon,accuracy,speed,notes,hike_id,created_on,updated_on
27042,2021-10-22T18:16:13.000Z,90,LTE,1,0,1,33.83001495505410,-84.28426044336800,41.352302918627200,0.5242947340011600,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27043,2021-10-22T18:16:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,10.009211009693800,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27044,2021-10-22T18:17:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.859045513579050,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27045,2021-10-22T18:17:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.8006402473107300,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27046,2021-10-22T18:18:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.779864965372090,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27047,2021-10-22T18:18:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.771803420525690,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27048,2021-10-22T18:19:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.769827698504470,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27049,2021-10-22T18:19:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.76854366661789,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27050,2021-10-22T18:20:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.7668198767408800,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27051,2021-10-22T18:20:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.765505172277760,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27052,2021-10-22T18:21:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.764273627489320,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27053,2021-10-22T18:21:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.764615246102170,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27054,2021-10-22T18:22:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.76491250599531,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27055,2021-10-22T18:22:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.765027974354650,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27056,2021-10-22T18:23:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.764175893064570,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27057,2021-10-22T18:23:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.763366896197900,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27058,2021-10-22T18:24:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.7624368501834200,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27059,2021-10-22T18:24:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.762276182342920,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27060,2021-10-22T18:25:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.763360437162560,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27061,2021-10-22T18:25:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.764185764105710,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27062,2021-10-22T18:26:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.76259798638614,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27063,2021-10-22T18:26:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.762102388599680,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27064,2021-10-22T18:27:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.7616607892893700,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27065,2021-10-22T18:27:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.761442458516460,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27066,2021-10-22T18:28:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.7608132470333800,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27067,2021-10-22T18:28:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.760437914122210,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27068,2021-10-22T18:29:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.760571655862760,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27069,2021-10-22T18:29:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.760590687596640,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27070,2021-10-22T18:30:14.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.760384631471290,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27071,2021-10-22T18:30:44.000Z,90,LTE,1,1,1,33.83015291231720,-84.2842563211236,4.760702881776080,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27072,2021-10-22T18:31:14.000Z,90,LTE,1,1,1,33.8301799036251,-84.28424964638640,4.88543429823456,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27073,2021-10-22T18:31:44.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.817165577518500,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27074,2021-10-22T18:32:14.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.7778667809588500,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27075,2021-10-22T18:32:44.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.767770814457120,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27076,2021-10-22T18:33:14.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.764758748096720,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27077,2021-10-22T18:33:44.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.7626631212171900,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27078,2021-10-22T18:34:14.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.760983897727360,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27079,2021-10-22T18:34:44.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.760511741047640,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27080,2021-10-22T18:35:14.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.759499240420340,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27081,2021-10-22T18:35:44.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.7598934193596500,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27082,2021-10-22T18:36:14.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.759928902929740,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27083,2021-10-22T18:36:44.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.760766451755200,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27084,2021-10-22T18:37:14.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.76096922653357,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27085,2021-10-22T18:37:44.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.7601604008584200,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
27086,2021-10-22T18:38:14.000Z,89,LTE,1,1,1,33.830190560294900,-84.28427292873830,4.759085577905460,0,,201,2021-10-24T21:58:28.000Z,2021-10-24T21:58:28.000Z
